rank,digit,sign,members,seeds,mean_similarity,mean_score,member_ids
1,1,-,5,5,0.40163829252123834,1.0505432724952697,s2:c7 s1:c11 s3:c13 s4:c12 s5:c29
2,4,+,4,4,0.49406226476033527,1.1279814541339874,s3:c0 s4:c0 s2:c3 s1:c9
3,0,+,4,4,0.35027938584486645,1.0201157927513123,s2:c17 s1:c17 s5:c25 s4:c23
4,8,-,3,3,0.7135321696599325,1.0557740926742554,s3:c6 s2:c18 s5:c15
5,5,-,3,3,0.6659723122914633,1.1067651907602947,s2:c0 s3:c9 s5:c6
6,9,-,3,3,0.5746229787667593,1.0503408312797546,s1:c2 s3:c17 s5:c27
7,4,-,3,3,0.507405161857605,1.060403307278951,s1:c1 s5:c8 s4:c14
8,6,+,3,3,0.4813851018746694,1.0069983998934429,s1:c23 s5:c23 s4:c27
9,7,-,3,3,0.4375238021214803,1.034533977508545,s2:c16 s4:c11 s5:c22
10,7,-,4,3,0.41698245455821353,1.066562458872795,s2:c4 s2:c5 s3:c18 s4:c19
11,2,-,3,3,0.41246875127156574,1.0665508111317952,s1:c5 s5:c2 s3:c26
12,3,+,3,3,0.39680083592732746,1.0578042268753052,s3:c10 s1:c14 s2:c21
13,6,+,6,3,0.31800159911314646,1.065332551797231,s4:c3 s4:c4 s1:c6 s1:c13 s3:c22 s4:c16
14,6,-,4,3,0.30758968492348987,1.0636246502399445,s2:c6 s3:c8 s5:c12 s5:c14
15,4,-,4,3,0.2672247428757449,1.0140225142240524,s3:c19 s5:c16 s4:c22 s4:c24
16,0,-,2,2,0.6918653249740601,1.0725761651992798,s5:c0 s2:c27
17,3,-,2,2,0.6724100112915039,1.0224595963954926,s5:c7 s4:c25
18,2,+,2,2,0.6660006046295166,1.054531455039978,s4:c6 s2:c19
19,3,+,2,2,0.6547683477401733,1.04616117477417,s4:c7 s1:c18
20,8,-,2,2,0.6462743282318115,1.0260175466537476,s3:c23 s1:c27
21,1,-,2,2,0.6287392377853394,1.0223033726215363,s3:c14 s4:c26
22,4,-,2,2,0.5457773804664612,1.108314573764801,s2:c1 s4:c5
23,4,+,2,2,0.5091342329978943,1.0311066508293152,s2:c22 s1:c32
24,5,-,2,2,0.504760205745697,1.0358819365501404,s1:c12 s4:c17
25,9,-,2,2,0.5015994310379028,1.0422701835632324,s2:c10 s5:c17
26,0,+,2,2,0.49648192524909973,1.0408467054367065,s5:c5 s3:c21
27,2,+,2,2,0.49379298090934753,1.0542258024215698,s5:c4 s1:c15
28,5,+,2,2,0.4218328297138214,1.0375328063964844,s2:c8 s4:c21
29,4,+,2,2,0.41596144437789917,1.0557488203048706,s2:c13 s3:c15
30,5,+,2,2,0.40960338711738586,1.060921549797058,s2:c9 s5:c9
31,7,-,2,2,0.3903769850730896,1.044848382472992,s3:c16 s2:c23
32,9,-,3,2,0.3812330017487208,1.057318131128947,s1:c10 s3:c11 s1:c16
33,1,-,2,2,0.38081952929496765,1.014359176158905,s1:c20 s5:c21
34,1,+,2,2,0.3715347647666931,1.1026443243026733,s3:c2 s5:c1
35,2,+,3,2,0.3636043866475423,1.036698540051778,s4:c8 s3:c20 s3:c24
36,0,+,3,2,0.34880872319142026,1.0775553385416667,s1:c0 s1:c8 s5:c13
37,3,+,2,2,0.34467270970344543,1.0652570128440857,s3:c5 s2:c24
38,7,-,4,2,0.32769670089085895,1.0673094391822815,s1:c4 s1:c3 s5:c11 s1:c25
39,3,-,3,2,0.32189424832661945,1.0574259360631306,s2:c2 s2:c20 s4:c18
40,1,-,2,2,0.3207942843437195,1.0447915196418762,s2:c15 s1:c19
41,6,+,1,1,1.0,1.1380703449249268,s3:c1
42,5,+,1,1,1.0,1.0946990251541138,s3:c4
43,0,+,1,1,1.0,1.0913937091827393,s3:c3
44,1,+,1,1,1.0,1.0835747718811035,s1:c7
45,3,-,1,1,1.0,1.0832908153533936,s3:c7
46,6,+,1,1,1.0,1.0770424604415894,s5:c3
47,0,-,1,1,1.0,1.0689570903778076,s2:c14
48,5,+,1,1,1.0,1.0678844451904297,s2:c12
49,1,+,1,1,1.0,1.0662906169891357,s2:c11
50,6,+,1,1,1.0,1.0615066289901733,s3:c12
51,6,-,1,1,1.0,1.0525035858154297,s4:c9
52,3,+,1,1,1.0,1.0382201671600342,s1:c24
53,1,+,1,1,1.0,1.0378670692443848,s5:c10
54,8,+,1,1,1.0,1.0287566184997559,s1:c22
55,6,+,1,1,1.0,1.0282995700836182,s1:c21
56,9,-,1,1,1.0,1.0212900638580322,s3:c25
57,4,+,1,1,1.0,1.0151910781860352,s5:c18
58,5,+,1,1,1.0,1.0137238502502441,s3:c28
59,9,+,1,1,1.0,1.009577751159668,s5:c19
60,4,+,1,1,1.0,1.0054935216903687,s5:c20
61,3,-,1,1,1.0,1.0045568943023682,s4:c15
62,7,-,1,1,1.0,0.9999222755432129,s5:c24
63,1,+,1,1,1.0,0.9990993738174438,s4:c20
64,2,+,2,1,0.5141503810882568,1.0319266319274902,s4:c10 s4:c13
65,5,-,2,1,0.4577976167201996,1.1337660551071167,s4:c1 s4:c2
66,2,+,2,1,0.33257079124450684,1.0403796434402466,s2:c26 s2:c25
