name,kind,rank,residual_rank,topk,similarity,main_similarity,test_acc,pattern_gini,locality_7x7,class_selectivity,head_top1_frac,display_tv,top_sigma_frac,frontier_score,residual_fraction,frontier_score_2
cp_res48_pen004,cp,64,48,1,0.9552808403968811,0.28646552562713623,0.9715999960899353,0.5530555248260498,0.3382168412208557,1.0,1.0,0.037245798856019974,0.16438351571559906,1.9639246493577955,0.7001242843851854,0.9848089832067488
cp_res48_pen010,cp,64,48,1,0.9540242552757263,0.2808467149734497,0.9727999567985535,0.5509046912193298,0.3287869691848755,1.0,1.0,0.03668038919568062,0.1981610506772995,1.9552800089120863,0.7056188944669115,0.9824117511510848
cp_res32_scale045_pen010,cp,64,32,1,0.9379442930221558,0.3741520047187805,0.9724999666213989,0.5181118249893188,0.31795012950897217,1.0,1.0,0.040535762906074524,0.1681475043296814,1.9502836138010022,0.6010935750637991,0.9880151510238647
split_res32_pen010,split,64,32,1,0.9342143535614014,0.38185733556747437,0.97079998254776,0.5560473799705505,0.3701763153076172,1.0,1.0,0.037640832364559174,0.16784505546092987,2.001225996017456,0.5912529773153643,0.9964267140626908
cp_res32_pen012,cp,64,32,1,0.9338758587837219,0.3682706952095032,0.9713999629020691,0.5365033745765686,0.34477144479751587,1.0,1.0,0.0385364294052124,0.16727328300476074,1.9725659638643265,0.6056534798006898,0.9894940584897995
cp_res32_pen006,cp,64,32,1,0.9332307577133179,0.3841375708580017,0.9711999893188477,0.5312750339508057,0.3374062180519104,1.0,1.0,0.039111047983169556,0.16912609338760376,1.969074499607086,0.5883787930444464,0.9907698035240172
cp_res24_pen015,cp,64,24,1,0.9184850454330444,0.4592045843601227,0.9711999893188477,0.5148451328277588,0.3206910490989685,1.0,1.0,0.040267158299684525,0.15330654382705688,1.9636846527457235,0.5000413053610271,0.9947741597890856
split_res24_pen015,split,64,24,1,0.915663480758667,0.46337956190109253,0.9715999960899353,0.5436432361602783,0.3435332775115967,1.0,1.0,0.038383062928915024,0.18409661948680878,1.9915263682603834,0.4939412004100432,0.999604633450508
cp_res16_pen020,cp,64,16,1,0.8984046578407288,0.5475130081176758,0.9691999554634094,0.5080780982971191,0.3223789930343628,1.0,1.0,0.04076628386974335,0.17508774995803833,1.9751815915107724,0.3905719395605136,1.0012279957532884
cp_top2_res32_pen008,cp,64,32,2,0.9388676285743713,0.404433012008667,0.971299946308136,0.5190443396568298,0.3185548782348633,0.7505171895027161,0.6946949362754822,0.04019443690776825,0.17307838797569275,1.7631904661655426,0.5692331914534314,0.9438106924295426
